"Tabela 4711 - Domicílios recenseados, por espécie"
"Variável - Domicílios recenseados (Domicílios)"
"Município";"Ano x Espécie"
"Darcinópolis (TO)";"2595"
"Dianópolis (TO)";"7405"
"Divinópolis do Tocantins (TO)";"3407"
"Dois Irmãos do Tocantins (TO)";"3126"
"Dueré (TO)";"2349"
"Esperantina (TO)";"3213"
"Fátima (TO)";"1499"
"Figueirópolis (TO)";"2494"
"Filadélfia (TO)";"3186"
"Formoso do Araguaia (TO)";"8415"
"Tabocão (TO)";"1485"
"Goianorte (TO)";"2274"
"Goiatins (TO)";"4787"
"Guaraí (TO)";"10321"
"Gurupi (TO)";"36801"
"Ipueiras (TO)";"867"
"Itacajá (TO)";"2798"
"Itaguatins (TO)";"2691"
"Itapiratins (TO)";"1703"
"Itaporã do Tocantins (TO)";"1117"
"Jaú do Tocantins (TO)";"1866"
"Juarina (TO)";"1111"
"Lagoa da Confusão (TO)";"5589"
"Lagoa do Tocantins (TO)";"1445"
"Lajeado (TO)";"1777"
"Lavandeira (TO)";"874"
"Lizarda (TO)";"1478"
"Luzinópolis (TO)";"1091"
"Marianópolis do Tocantins (TO)";"2094"
"Mateiros (TO)";"1042"
"Maurilândia do Tocantins (TO)";"1301"
"Miracema do Tocantins (TO)";"8857"
"Miranorte (TO)";"5258"
"Monte do Carmo (TO)";"2747"
"Monte Santo do Tocantins (TO)";"1266"
"Palmeiras do Tocantins (TO)";"2097"
"Muricilândia (TO)";"1287"
"Natividade (TO)";"3864"
"Nazaré (TO)";"1935"
"Nova Olinda (TO)";"4644"
"Nova Rosalândia (TO)";"1469"
"Novo Acordo (TO)";"1772"
"Novo Alegre (TO)";"933"
"Novo Jardim (TO)";"1008"
"Oliveira de Fátima (TO)";"555"
"Palmeirante (TO)";"2488"
"Palmeirópolis (TO)";"3620"
"Paraíso do Tocantins (TO)";"20983"
"Paranã (TO)";"5736"
"Pau D'Arco (TO)";"1898"
"Pedro Afonso (TO)";"5847"
"Peixe (TO)";"5346"
"Pequizeiro (TO)";"2202"
"Colméia (TO)";"4065"
"Pindorama do Tocantins (TO)";"2113"
"Piraquê (TO)";"1178"
"Pium (TO)";"3323"
"Ponte Alta do Bom Jesus (TO)";"2259"
"Ponte Alta do Tocantins (TO)";"3312"
"Porto Alegre do Tocantins (TO)";"1227"
"Porto Nacional (TO)";"29950"
"Praia Norte (TO)";"2884"
"Presidente Kennedy (TO)";"1323"
"Pugmil (TO)";"1000"
"Recursolândia (TO)";"1327"
"Riachinho (TO)";"1672"
"Rio da Conceição (TO)";"857"
"Rio dos Bois (TO)";"1307"
"Rio Sono (TO)";"2532"
"Sampaio (TO)";"1561"
"Sandolândia (TO)";"1880"
"Santa Fé do Araguaia (TO)";"2682"
"Santa Maria do Tocantins (TO)";"1291"
"Santa Rita do Tocantins (TO)";"1129"
"Santa Rosa do Tocantins (TO)";"2262"
"Santa Tereza do Tocantins (TO)";"1196"
"Santa Terezinha do Tocantins (TO)";"1039"
"São Bento do Tocantins (TO)";"2210"
"São Félix do Tocantins (TO)";"664"
"São Miguel do Tocantins (TO)";"5594"
"São Salvador do Tocantins (TO)";"1500"
"São Sebastião do Tocantins (TO)";"1653"
"São Valério (TO)";"2297"
"Silvanópolis (TO)";"2344"
"Sítio Novo do Tocantins (TO)";"3777"
"Sucupira (TO)";"848"
"Taguatinga (TO)";"6680"
"Taipas do Tocantins (TO)";"860"
"Talismã (TO)";"1376"
"Palmas (TO)";"129424"
